Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,1491,3.0,3,,,,,,
,,,,,1496,5.0,5,,,,,,
,,,,,1510,14.0,14,,,,,,
,,,,,1514,4.0,4,,,,,,
,,,,,1517,3.0,3,,,,,,
,,,,,1521,4.0,4,,,,,,
,,,,,1525,4.0,4,,,,,,
,,,,,1531,6.0,6,,,,,,
,,,,,1534,3.0,3,,,,,,
,,,,,1539,5.0,5,,,,,,
,,,,,1545,6.0,6,,,,,,
,,,,,1549,4.0,4,,,,,,
,,,,,1553,4.0,4,,,,,,
,,,,,1560,7.0,7,,,,,,
,,,,,1566,6.0,6,,,,,,
,,,,,1572,6.0,6,,,,,,
,,,,,1580,8.0,8,,,,,,
,,,,,1586,6.0,6,,,,,,
,,,,,1591,5.0,5,,,,,,
,,,,,1602,11.0,11,,,,,,
,,,,,1606,4.0,4,,,,,,
,,,,,1614,8.0,8,,,,,,
,,,,,1639,25.0,25,,,,,,
,,,,,1646,7.0,7,,,,,,
,,,,,1650,4.0,4,,,,,,
,,,,,1666,16.0,16,,,,,,
,,,,,1674,8.0,8,,,,,,
,,,,,1679,5.0,5,,,,,,
,,,,,1684,5.0,5,,,,,,
,,,,,1694,10.0,10,,,,,,
,,,,,1701,7.0,7,,,,,,
,,,,,1707,6.0,6,,,,,,
,,,,,1711,4.0,4,,,,,,
,,,,,1716,5.0,5,,,,,,
,,,,,1729,13.0,13,,,,,,
,,,,,1732,3.0,3,,,,,,
,,,,,1739,7.0,7,,,,,,
,,,,,1744,5.0,5,,,,,,
,,,,,1749,5.0,5,,,,,,
,,,,,1763,14.0,14,,,,,,
,,,,,1772,9.0,9,,,,,,
,,,,,1775,3.0,3,,,,,,
,,,,,1778,3.0,3,,,,,,
,,,,,1787,9.0,9,,,,,,
,,,,,1793,6.0,6,,,,,,
,,,,,1801,8.0,8,,,,,,
,,,,,1805,4.0,4,,,,,,
,,,,,1808,3.0,3,,,,,,
,,,,,1818,10.0,10,,,,,,
,,,,,1825,7.0,7,,,,,,
,,,,,1832,7.0,7,,,,,,
,,,,,1836,4.0,4,,,,,,
,,,,,1840,4.0,4,,,,,,
,,,,,1847,7.0,7,,,,,,
,,,,,1851,4.0,4,,,,,,
,,,,,1856,5.0,5,,,,,,
,,,,,1870,14.0,14,,,,,,
,,,,,1877,7.0,7,,,,,,
,,,,,1882,5.0,5,,,,,,
,,,,,1889,7.0,7,,,,,,
,,,,,1898,9.0,9,,,,,,
,,,,,1907,9.0,9,,,,,,
,,,,,1911,4.0,4,,,,,,
,,,,,1914,3.0,3,,,,,,
,,,,,1918,4.0,4,,,,,,
,,,,,1923,5.0,5,,,,,,
,,,,,1933,10.0,10,,,,,,
,,,,,1947,14.0,14,,,,,,
,,,,,1954,7.0,7,,,,,,
,,,,,1964,10.0,10,,,,,,
,,,,,1982,18.0,18,,,,,,
,,,,,1988,6.0,6,,,,,,
,,,,,1992,4.0,4,,,,,,
,,,,,1995,3.0,3,,,,,,
,,,,,1999,4.0,4,,,,,,
,,,,,2004,5.0,5,,,,,,
,,,,,2015,11.0,11,,,,,,
,,,,,2020,5.0,5,,,,,,
,,,,,2027,7.0,7,,,,,,
,,,,,2030,3.0,3,,,,,,
,,,,,2036,6.0,6,,,,,,
,,,,,2039,3.0,3,,,,,,
,,,,,2045,6.0,6,,,,,,
,,,,,2049,4.0,4,,,,,,
,,,,,2053,4.0,4,,,,,,
,,,,,2057,4.0,4,,,,,,
,,,,,2065,8.0,8,,,,,,
,,,,,2072,7.0,7,,,,,,
,,,,,2077,5.0,5,,,,,,
,,,,,2083,6.0,6,,,,,,
,,,,,2086,3.0,3,,,,,,
,,,,,2100,14.0,14,,,,,,
,,,,,2105,5.0,5,,,,,,
,,,,,2112,7.0,7,,,,,,
,,,,,2118,6.0,6,,,,,,
,,,,,2123,5.0,5,,,,,,
,,,,,2130,7.0,7,,,,,,
,,,,,2133,3.0,3,,,,,,
,,,,,2137,4.0,4,,,,,,
,,,,,2142,5.0,5,,,,,,
,,,,,2147,5.0,5,,,,,,
,,,,,2155,8.0,8,,,,,,
,,,,,2163,8.0,8,,,,,,
,,,,,2168,5.0,5,,,,,,
,,,,,2174,6.0,6,,,,,,
,,,,,2178,4.0,4,,,,,,
,,,,,2183,5.0,5,,,,,,
,,,,,2188,5.0,5,,,,,,
,,,,,2192,4.0,4,,,,,,
,,,,,2196,4.0,4,,,,,,
,,,,,2200,4.0,4,,,,,,
,,,,,2205,5.0,5,,,,,,
,,,,,2213,8.0,8,,,,,,
,,,,,2217,4.0,4,,,,,,
,,,,,2226,9.0,9,,,,,,
,,,,,2231,5.0,5,,,,,,
,,,,,2238,7.0,7,,,,,,
,,,,,2241,3.0,3,,,,,,
,,,,,2246,5.0,5,,,,,,
,,,,,2249,3.0,3,,,,,,
,,,,,2254,5.0,5,,,,,,
,,,,,2260,6.0,6,,,,,,
,,,,,2265,5.0,5,,,,,,
,,,,,2275,10.0,10,,,,,,
,,,,,2290,15.0,15,,,,,,
,,,,,2295,5.0,5,,,,,,
,,,,,2302,7.0,7,,,,,,
,,,,,2308,6.0,6,,,,,,
,,,,,2318,10.0,10,,,,,,
,,,,,2323,5.0,5,,,,,,
,,,,,2328,5.0,5,,,,,,
,,,,,2335,7.0,7,,,,,,
,,,,,2338,3.0,3,,,,,,
,,,,,2341,3.0,3,,,,,,
,,,,,2346,5.0,5,,,,,,
,,,,,2349,3.0,3,,,,,,
,,,,,2362,13.0,13,,,,,,
,,,,,2377,15.0,15,,,,,,
,,,,,2386,9.0,9,,,,,,
,,,,,2394,8.0,8,,,,,,
,,,,,2400,6.0,6,,,,,,
,,,,,2405,5.0,5,,,,,,
,,,,,2412,7.0,7,,,,,,
,,,,,2416,4.0,4,,,,,,
,,,,,2423,7.0,7,,,,,,
,,,,,2436,13.0,13,,,,,,
,,,,,2443,7.0,7,,,,,,
,,,,,2450,7.0,7,,,,,,
,,,,,2458,8.0,8,,,,,,
,,,,,2467,9.0,9,,,,,,
,,,,,2480,13.0,13,,,,,,
,,,,,2484,4.0,4,,,,,,
,,,,,2489,5.0,5,,,,,,
,,,,,2493,4.0,4,,,,,,
,,,,,2502,9.0,9,,,,,,
,,,,,2506,4.0,4,,,,,,
,,,,,2510,4.0,4,,,,,,
,,,,,2521,11.0,11,,,,,,
,,,,,2532,11.0,11,,,,,,
,,,,,2536,4.0,4,,,,,,
,,,,,2548,12.0,12,,,,,,
,,,,,2553,5.0,5,,,,,,
,,,,,2557,4.0,4,,,,,,
,,,,,2562,5.0,5,,,,,,
,,,,,2576,14.0,14,,,,,,
,,,,,2582,6.0,6,,,,,,
,,,,,2592,10.0,10,,,,,,
,,,,,2596,4.0,4,,,,,,
,,,,,2599,3.0,3,,,,,,
,,,,,2602,3.0,3,,,,,,
,,,,,2606,4.0,4,,,,,,
,,,,,2617,11.0,11,,,,,,
,,,,,2620,3.0,3,,,,,,
,,,,,2623,3.0,3,,,,,,
,,,,,2632,9.0,9,,,,,,
