Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,4566,10.787321,24,,,,,,,,
,,,,,4598,12.186876,32,,,,,,,,
,,,,,4626,26.541424,28,,,,,,,,
,,,,,4654,12.092287,28,,,,,,,,
,,,,,4678,11.924132,24,,,,,,,,
,,,,,4695,15.728678,17,,,,,,,,
,,,,,4706,9.482412,11,,,,,,,,
,,,,,4734,31.08659,28,,,,,,,,
,,,,,4765,42.3836,31,,,,,,,,
,,,,,4795,26.310165,30,,,,,,,,
,,,,,4821,17.199936,26,,,,,,,,
,,,,,4852,21.858364,31,,,,,,,,
,,,,,4889,23.769772,37,,,,,,,,
,,,,,4907,15.994009,18,,,,,,,,
,,,,,4923,11.701722,16,,,,,,,,
,,,,,4941,12.475505,18,,,,,,,,
,,,,,4951,7.8056498,10,,,,,,,,
,,,,,4968,15.196654,17,,,,,,,,
,,,,,4997,13.742825,29,,,,,,,,
15.696208,8.064464,37.60459,7.9463205,20.4,5000,,,,,,,,,,
,,,,,5018,15.316718,21,,,,,,,,
,,,,,5050,34.63543,32,,,,,,,,
,,,,,5062,10.398869,12,,,,,,,,
,,,,,5083,12.990063,21,,,,,,,,
,,,,,5098,14.091972,15,,,,,,,,
,,,,,5113,11.355412,15,,,,,,,,
,,,,,5155,26.274834,42,,,,,,,,
,,,,,5196,22.462666,41,,,,,,,,
,,,,,5222,8.461447,26,,,,,,,,
,,,,,5243,15.9975605,21,,,,,,,,
,,,,,5262,20.404057,19,,,,,,,,
,,,,,5282,18.303717,20,,,,,,,,
,,,,,5301,4.8984957,19,,,,,,,,
,,,,,5317,14.667059,16,,,,,,,,
,,,,,5327,7.5729723,10,,,,,,,,
,,,,,5339,9.253824,12,,,,,,,,
,,,,,5366,23.7567,27,,,,,,,,
,,,,,5386,17.278484,20,,,,,,,,
,,,,,5400,12.602882,14,,,,,,,,
,,,,,5424,25.187265,24,,,,,,,,
,,,,,5442,18.273039,18,,,,,,,,
,,,,,5482,38.940647,40,,,,,,,,
,,,,,5501,20.043314,19,,,,,,,,
,,,,,5532,35.8587,31,,,,,,,,
,,,,,5551,21.3536,19,,,,,,,,
,,,,,5565,8.896691,14,,,,,,,,
,,,,,5584,16.7515,19,,,,,,,,
,,,,,5599,12.000511,15,,,,,,,,
,,,,,5616,10.455629,17,,,,,,,,
,,,,,5637,21.370445,21,,,,,,,,
,,,,,5651,9.582246,14,,,,,,,,
,,,,,5670,17.996428,19,,,,,,,,
,,,,,5685,13.817692,15,,,,,,,,
,,,,,5695,8.738925,10,,,,,,,,
,,,,,5711,13.98835,16,,,,,,,,
,,,,,5742,37.62233,31,,,,,,,,
,,,,,5774,32.813362,32,,,,,,,,
,,,,,5798,11.294473,24,,,,,,,,
,,,,,5812,10.11359,14,,,,,,,,
,,,,,5827,10.31613,15,,,,,,,,
,,,,,5836,6.2988453,9,,,,,,,,
,,,,,5852,14.3017845,16,,,,,,,,
,,,,,5871,20.889175,19,,,,,,,,
,,,,,5892,16.371359,21,,,,,,,,
,,,,,5918,34.82181,26,,,,,,,,
,,,,,5939,24.105415,21,,,,,,,,
,,,,,5968,21.842205,29,,,,,,,,
,,,,,6021,70.02321,53,,,,,,,,
,,,,,6038,14.216931,17,,,,,,,,
,,,,,6055,18.248764,17,,,,,,,,
,,,,,6082,20.864138,27,,,,,,,,
,,,,,6097,13.816077,15,,,,,,,,
,,,,,6127,15.394247,30,,,,,,,,
,,,,,6185,75.79329,58,,,,,,,,
,,,,,6201,10.860461,16,,,,,,,,
,,,,,6230,22.696995,29,,,,,,,,
,,,,,6271,21.382317,41,,,,,,,,
,,,,,6331,111.18761,60,,,,,,,,
,,,,,6347,15.5709915,16,,,,,,,,
,,,,,6373,12.062013,26,,,,,,,,
,,,,,6390,18.10529,17,,,,,,,,
,,,,,6409,9.327559,19,,,,,,,,
,,,,,6459,87.97925,50,,,,,,,,
,,,,,6487,34.9621,28,,,,,,,,
,,,,,6501,9.188808,14,,,,,,,,
,,,,,6535,34.567226,34,,,,,,,,
,,,,,6544,7.5347414,9,,,,,,,,
,,,,,6572,22.425003,28,,,,,,,,
,,,,,6601,27.022314,29,,,,,,,,
,,,,,6622,14.935078,21,,,,,,,,
,,,,,6677,52.253384,55,,,,,,,,
,,,,,6701,31.337677,24,,,,,,,,
,,,,,6735,43.352116,34,,,,,,,,
,,,,,6747,11.176602,12,,,,,,,,
,,,,,6764,13.349799,17,,,,,,,,
,,,,,6776,7.542005,12,,,,,,,,
,,,,,6826,45.69601,50,,,,,,,,
,,,,,6840,9.839084,14,,,,,,,,
,,,,,6857,10.875545,17,,,,,,,,
,,,,,6876,15.47691,19,,,,,,,,
,,,,,6891,15.885548,15,,,,,,,,
,,,,,6913,12.858234,22,,,,,,,,
,,,,,6924,9.205433,11,,,,,,,,
,,,,,6943,15.331484,19,,,,,,,,
,,,,,6958,17.454834,15,,,,,,,,
,,,,,6980,14.356338,22,,,,,,,,
,,,,,7011,17.166903,31,,,,,,,,
,,,,,7025,13.663393,14,,,,,,,,
,,,,,7042,9.872929,17,,,,,,,,
,,,,,7075,21.716099,33,,,,,,,,
,,,,,7094,21.368029,19,,,,,,,,
,,,,,7118,26.803717,24,,,,,,,,
,,,,,7127,6.3734837,9,,,,,,,,
,,,,,7147,15.433624,20,,,,,,,,
,,,,,7197,48.52318,50,,,,,,,,
,,,,,7261,108.51321,64,,,,,,,,
,,,,,7281,21.865,20,,,,,,,,
,,,,,7315,37.309303,34,,,,,,,,
,,,,,7342,29.477324,27,,,,,,,,
,,,,,7377,15.396668,35,,,,,,,,
,,,,,7388,9.011334,11,,,,,,,,
,,,,,7401,11.001663,13,,,,,,,,
,,,,,7415,8.623968,14,,,,,,,,
,,,,,7454,46.81789,39,,,,,,,,
,,,,,7486,18.902565,32,,,,,,,,
,,,,,7511,12.24997,25,,,,,,,,
,,,,,7526,13.513384,15,,,,,,,,
,,,,,7586,107.73097,60,,,,,,,,
,,,,,7620,35.165855,34,,,,,,,,
,,,,,7636,15.3366375,16,,,,,,,,
,,,,,7646,7.5766983,10,,,,,,,,
,,,,,7665,17.310745,19,,,,,,,,
,,,,,7679,11.243512,14,,,,,,,,
,,,,,7694,12.132364,15,,,,,,,,
,,,,,7711,17.610329,17,,,,,,,,
,,,,,7733,17.171898,22,,,,,,,,
,,,,,7777,35.51289,44,,,,,,,,
,,,,,7803,20.872627,26,,,,,,,,
,,,,,7826,25.460257,23,,,,,,,,
,,,,,7872,39.98984,46,,,,,,,,
,,,,,7882,6.547025,10,,,,,,,,
,,,,,7954,82.4393,72,,,,,,,,
,,,,,7972,11.140193,18,,,,,,,,
,,,,,8045,100.76166,73,,,,,,,,
,,,,,8069,27.063858,24,,,,,,,,
,,,,,8085,11.827523,16,,,,,,,,
,,,,,8110,15.663714,25,,,,,,,,
,,,,,8141,19.153711,31,,,,,,,,
,,,,,8150,6.699132,9,,,,,,,,
,,,,,8179,24.86005,29,,,,,,,,
,,,,,8207,19.877153,28,,,,,,,,
,,,,,8227,16.73146,20,,,,,,,,
,,,,,8247,15.688359,20,,,,,,,,
,,,,,8259,9.171455,12,,,,,,,,
,,,,,8297,52.236675,38,,,,,,,,
,,,,,8311,12.526587,14,,,,,,,,
,,,,,8326,12.818368,15,,,,,,,,
,,,,,8340,12.602662,14,,,,,,,,
,,,,,8353,11.827248,13,,,,,,,,
,,,,,8372,20.917294,19,,,,,,,,
,,,,,8396,27.319342,24,,,,,,,,
,,,,,8412,13.414316,16,,,,,,,,
,,,,,8428,11.516472,16,,,,,,,,
,,,,,8484,66.822495,56,,,,,,,,
,,,,,8509,23.879303,25,,,,,,,,
,,,,,8527,5.9123416,18,,,,,,,,
,,,,,8554,22.409906,27,,,,,,,,
,,,,,8569,10.772928,15,,,,,,,,
,,,,,8581,9.996935,12,,,,,,,,
,,,,,8599,11.627416,18,,,,,,,,
,,,,,8620,21.518274,21,,,,,,,,
,,,,,8655,41.0085,35,,,,,,,,
,,,,,8673,21.023518,18,,,,,,,,
,,,,,8691,17.905514,18,,,,,,,,
,,,,,8739,25.518505,48,,,,,,,,
,,,,,8758,20.713264,19,,,,,,,,
,,,,,8783,26.408049,25,,,,,,,,
,,,,,8801,15.009172,18,,,,,,,,
,,,,,8817,14.743189,16,,,,,,,,
,,,,,8847,34.83806,30,,,,,,,,
,,,,,8863,13.919394,16,,,,,,,,
,,,,,8932,104.652626,69,,,,,,,,
,,,,,8953,18.400301,21,,,,,,,,
