Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,22018,-189.0275,73,,,,,,
,,,,,22080,-142.90744,62,,,,,,
,,,,,22146,-104.215775,66,,,,,,
,,,,,22206,-199.25026,60,,,,,,
,,,,,22280,-304.89337,74,,,,,,
,,,,,22359,-207.27287,79,,,,,,
,,,,,22466,-458.93393,107,,,,,,
,,,,,22532,-284.2437,66,,,,,,
,,,,,22599,-92.57764,67,,,,,,
,,,,,22669,-278.55786,70,,,,,,
,,,,,22733,-229.257,64,,,,,,
,,,,,22802,-212.33315,69,,,,,,
,,,,,22899,-288.34552,97,,,,,,
,,,,,22995,-460.714,96,,,,,,
,,,,,23000,,,10.068990707397461,-1.4281222820281982,-1.518172264099121,22.058597564697266,0.862,0.001
,,,,,23081,-440.31146,86,,,,,,
,,,,,23158,-339.85516,77,,,,,,
,,,,,23216,-100.99101,58,,,,,,
,,,,,23333,-453.21515,117,,,,,,
,,,,,23396,-169.65433,63,,,,,,
,,,,,23462,-110.53176,66,,,,,,
,,,,,23585,-149.87567,123,,,,,,
,,,,,23694,-138.83537,109,,,,,,
,,,,,23788,-369.0493,94,,,,,,
,,,,,23886,-534.3098,98,,,,,,
,,,,,24000,,,19.291738510131836,-2.8257064819335938,-2.764904022216797,27.902252197265625,0.856,0.001
,,,,,24003,-477.50613,117,,,,,,
,,,,,24093,-492.3812,90,,,,,,
,,,,,24200,-561.48254,107,,,,,,
,,,,,24316,-385.92404,116,,,,,,
,,,,,24402,-480.7295,86,,,,,,
,,,,,24470,-108.72045,68,,,,,,
,,,,,24542,-173.91696,72,,,,,,
,,,,,24630,-441.46942,88,,,,,,
,,,,,24731,-510.90994,101,,,,,,
,,,,,24836,-472.22174,105,,,,,,
,,,,,24921,-322.69522,85,,,,,,
,,,,,24991,-122.2028,70,,,,,,
,,,,,25000,,,6.47830867767334,-2.1472368240356445,-1.5459542274475098,39.03075408935547,0.85,0.001
,,,,,25079,-177.24507,88,,,,,,
,,,,,25136,-87.27102,57,,,,,,
,,,,,25222,-257.2462,86,,,,,,
,,,,,25296,-357.61267,74,,,,,,
,,,,,25399,-642.1773,103,,,,,,
,,,,,25472,-235.33476,73,,,,,,
,,,,,25548,-477.14142,76,,,,,,
,,,,,25636,-397.37827,88,,,,,,
,,,,,25722,-334.34958,86,,,,,,
,,,,,25811,-302.65094,89,,,,,,
,,,,,25937,-139.157,126,,,,,,
,,,,,26000,,,7.419529914855957,0.6331177353858948,1.1010686159133911,61.248451232910156,0.844,0.001
,,,,,26047,-223.98634,110,,,,,,
,,,,,26127,-254.48546,80,,,,,,
,,,,,26258,-504.45346,131,,,,,,
,,,,,26383,-334.4181,125,,,,,,
,,,,,26484,-326.54675,101,,,,,,
,,,,,26586,-410.72052,102,,,,,,
,,,,,26647,-98.85177,61,,,,,,
,,,,,26731,-114.79469,84,,,,,,
,,,,,26812,-461.36676,81,,,,,,
,,,,,26903,-521.7135,91,,,,,,
,,,,,26970,-118.022865,67,,,,,,
,,,,,27000,,,3.4061524868011475,-1.7721986770629883,-1.8208508491516113,25.510034561157227,0.838,0.001
,,,,,27027,-161.29428,57,,,,,,
,,,,,27094,-147.49188,67,,,,,,
,,,,,27184,-420.4352,90,,,,,,
