Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,5896,16.539806,22,,,,,,,,
,,,,,5921,31.98803,25,,,,,,,,
,,,,,5942,23.801483,21,,,,,,,,
,,,,,5972,22.897348,30,,,,,,,,
,,,,,5993,23.016363,21,,,,,,,,
,,,,,6012,13.417933,19,,,,,,,,
,,,,,6025,11.904527,13,,,,,,,,
,,,,,6041,14.488211,16,,,,,,,,
,,,,,6057,16.738611,16,,,,,,,,
,,,,,6093,32.77471,36,,,,,,,,
,,,,,6133,22.651152,40,,,,,,,,
,,,,,6189,68.44923,56,,,,,,,,
,,,,,6209,13.584273,20,,,,,,,,
,,,,,6230,14.780877,21,,,,,,,,
,,,,,6268,13.265502,38,,,,,,,,
,,,,,6301,53.810715,33,,,,,,,,
,,,,,6315,12.815128,14,,,,,,,,
,,,,,6343,18.62739,28,,,,,,,,
,,,,,6385,27.666693,42,,,,,,,,
,,,,,6415,30.462255,30,,,,,,,,
,,,,,6457,65.09842,42,,,,,,,,
,,,,,6501,66.39274,44,,,,,,,,
,,,,,6539,50.587967,38,,,,,,,,
,,,,,6551,10.189012,12,,,,,,,,
,,,,,6592,38.173744,41,,,,,,,,
,,,,,6623,18.835047,31,,,,,,,,
,,,,,6684,86.69367,61,,,,,,,,
,,,,,6705,25.926104,21,,,,,,,,
,,,,,6737,35.357822,32,,,,,,,,
,,,,,6750,12.53764,13,,,,,,,,
,,,,,6767,13.301654,17,,,,,,,,
,,,,,6779,7.8502336,12,,,,,,,,
,,,,,6830,46.677197,51,,,,,,,,
,,,,,6844,8.70865,14,,,,,,,,
,,,,,6858,9.667605,14,,,,,,,,
,,,,,6871,9.759791,13,,,,,,,,
,,,,,6881,6.322801,10,,,,,,,,
,,,,,6893,11.082236,12,,,,,,,,
,,,,,6916,11.357024,23,,,,,,,,
,,,,,6927,9.226747,11,,,,,,,,
,,,,,6947,16.89424,20,,,,,,,,
,,,,,6959,12.281819,12,,,,,,,,
,,,,,6987,23.78515,28,,,,,,,,
,,,,,7019,26.934362,32,,,,,,,,
,,,,,7045,30.507233,26,,,,,,,,
,,,,,7080,21.98317,35,,,,,,,,
,,,,,7099,21.696213,19,,,,,,,,
,,,,,7122,26.538454,23,,,,,,,,
,,,,,7133,6.3412395,11,,,,,,,,
,,,,,7151,13.015326,18,,,,,,,,
,,,,,7171,20.345415,20,,,,,,,,
,,,,,7209,51.164806,38,,,,,,,,
,,,,,7224,13.663877,15,,,,,,,,
,,,,,7254,39.2017,30,,,,,,,,
,,,,,7273,17.795513,19,,,,,,,,
,,,,,7322,59.018513,49,,,,,,,,
,,,,,7346,20.556707,24,,,,,,,,
,,,,,7382,20.724783,36,,,,,,,,
,,,,,7396,12.98039,14,,,,,,,,
,,,,,7406,8.369096,10,,,,,,,,
,,,,,7432,22.231222,26,,,,,,,,
,,,,,7457,18.22248,25,,,,,,,,
,,,,,7489,19.089632,32,,,,,,,,
,,,,,7513,12.547407,24,,,,,,,,
,,,,,7530,16.295427,17,,,,,,,,
,,,,,7569,65.284035,39,,,,,,,,
,,,,,7581,9.075167,12,,,,,,,,
,,,,,7613,21.944136,32,,,,,,,,
,,,,,7635,18.753914,22,,,,,,,,
,,,,,7644,7.444559,9,,,,,,,,
,,,,,7661,13.966514,17,,,,,,,,
,,,,,7682,15.412195,21,,,,,,,,
,,,,,7697,12.318884,15,,,,,,,,
,,,,,7714,17.798122,17,,,,,,,,
,,,,,7736,16.92193,22,,,,,,,,
,,,,,7773,28.1221,37,,,,,,,,
,,,,,7785,11.137132,12,,,,,,,,
,,,,,7809,26.454739,24,,,,,,,,
,,,,,7830,22.262701,21,,,,,,,,
,,,,,7872,26.605038,42,,,,,,,,
,,,,,7883,8.070773,11,,,,,,,,
,,,,,7900,14.582197,17,,,,,,,,
,,,,,7942,40.25255,42,,,,,,,,
,,,,,7957,10.911744,15,,,,,,,,
,,,,,7974,10.251964,17,,,,,,,,
,,,,,8045,88.112656,71,,,,,,,,
,,,,,8070,20.630085,25,,,,,,,,
,,,,,8090,13.663875,20,,,,,,,,
,,,,,8117,21.437006,27,,,,,,,,
,,,,,8146,18.09855,29,,,,,,,,
,,,,,8156,7.4198923,10,,,,,,,,
,,,,,8186,29.849548,30,,,,,,,,
,,,,,8209,15.974752,23,,,,,,,,
,,,,,8224,11.423779,15,,,,,,,,
,,,,,8235,9.470875,11,,,,,,,,
,,,,,8250,14.603207,15,,,,,,,,
,,,,,8262,9.274121,12,,,,,,,,
,,,,,8302,55.71934,40,,,,,,,,
,,,,,8318,14.983757,16,,,,,,,,
,,,,,8339,26.227371,21,,,,,,,,
,,,,,8352,11.467432,13,,,,,,,,
,,,,,8362,8.259404,10,,,,,,,,
,,,,,8377,15.605,15,,,,,,,,
,,,,,8401,24.174482,24,,,,,,,,
,,,,,8416,13.354267,15,,,,,,,,
,,,,,8429,9.75094,13,,,,,,,,
,,,,,8499,89.50089,70,,,,,,,,
,,,,,8512,10.808876,13,,,,,,,,
,,,,,8530,5.8037443,18,,,,,,,,
,,,,,8549,16.090446,19,,,,,,,,
,,,,,8563,10.904822,14,,,,,,,,
,,,,,8575,9.741891,12,,,,,,,,
,,,,,8590,14.610212,15,,,,,,,,
,,,,,8605,10.683178,15,,,,,,,,
,,,,,8623,16.444798,18,,,,,,,,
,,,,,8659,42.19072,36,,,,,,,,
,,,,,8676,19.491577,17,,,,,,,,
,,,,,8695,19.000156,19,,,,,,,,
,,,,,8720,15.951684,25,,,,,,,,
,,,,,8747,14.332271,27,,,,,,,,
,,,,,8782,43.17321,35,,,,,,,,
,,,,,8796,12.894464,14,,,,,,,,
,,,,,8809,6.485721,13,,,,,,,,
,,,,,8820,9.030944,11,,,,,,,,
,,,,,8850,35.274044,30,,,,,,,,
,,,,,8867,14.541473,17,,,,,,,,
,,,,,8892,26.973492,25,,,,,,,,
,,,,,8914,18.034483,22,,,,,,,,
,,,,,8935,22.811243,21,,,,,,,,
,,,,,8956,18.499056,21,,,,,,,,
,,,,,8972,8.582645,16,,,,,,,,
,,,,,9027,63.945557,55,,,,,,,,
,,,,,9040,10.286761,13,,,,,,,,
,,,,,9055,10.451408,15,,,,,,,,
,,,,,9072,11.802041,17,,,,,,,,
,,,,,9096,13.294239,24,,,,,,,,
,,,,,9118,18.650553,22,,,,,,,,
,,,,,9151,26.045082,33,,,,,,,,
,,,,,9169,12.6517935,18,,,,,,,,
,,,,,9186,9.923842,17,,,,,,,,
,,,,,9221,53.93409,35,,,,,,,,
,,,,,9247,27.82085,26,,,,,,,,
,,,,,9262,13.382279,15,,,,,,,,
,,,,,9274,7.735923,12,,,,,,,,
,,,,,9287,11.705237,13,,,,,,,,
,,,,,9355,127.23604,68,,,,,,,,
,,,,,9384,30.767384,29,,,,,,,,
,,,,,9396,8.18609,12,,,,,,,,
,,,,,9407,9.885305,11,,,,,,,,
,,,,,9429,10.872202,22,,,,,,,,
,,,,,9451,12.650674,22,,,,,,,,
,,,,,9491,61.947994,40,,,,,,,,
,,,,,9506,10.093002,15,,,,,,,,
,,,,,9535,20.018673,29,,,,,,,,
,,,,,9589,43.018368,54,,,,,,,,
,,,,,9599,8.389674,10,,,,,,,,
,,,,,9630,31.152355,31,,,,,,,,
,,,,,9647,11.651638,17,,,,,,,,
,,,,,9683,28.390785,36,,,,,,,,
,,,,,9708,15.439087,25,,,,,,,,
,,,,,9722,11.743121,14,,,,,,,,
,,,,,9747,21.715797,25,,,,,,,,
,,,,,9812,95.378365,65,,,,,,,,
,,,,,9834,23.862715,22,,,,,,,,
,,,,,9847,11.919534,13,,,,,,,,
,,,,,9858,9.234346,11,,,,,,,,
,,,,,9878,12.517263,20,,,,,,,,
,,,,,9910,20.647787,32,,,,,,,,
,,,,,9939,36.16119,29,,,,,,,,
,,,,,9948,7.2711196,9,,,,,,,,
,,,,,9964,12.093492,16,,,,,,,,
21.699852,13.286895,57.97124,10.707711,24.5,10000,,,-0.3499739170074463,1.974548578262329,1.0895676612854004,0.0024610150139778852,0.9713302254676819,0.0003,0.0003,0.1
,,,,,10031,130.40831,67,,,,,,,,
,,,,,10067,10.419427,36,,,,,,,,
,,,,,10076,7.1828103,9,,,,,,,,
,,,,,10090,12.1123495,14,,,,,,,,
,,,,,10115,25.963238,25,,,,,,,,
,,,,,10127,9.187412,12,,,,,,,,
,,,,,10228,158.32443,101,,,,,,,,
,,,,,10338,174.31119,110,,,,,,,,
,,,,,10379,68.798134,41,,,,,,,,
,,,,,10431,94.80911,52,,,,,,,,
,,,,,10470,63.473297,39,,,,,,,,
,,,,,10528,106.2635,58,,,,,,,,
,,,,,10576,81.48371,48,,,,,,,,
,,,,,10608,53.602547,32,,,,,,,,
,,,,,10655,80.79869,47,,,,,,,,
,,,,,10701,80.57217,46,,,,,,,,
,,,,,10743,68.781136,42,,,,,,,,
,,,,,10794,88.10985,51,,,,,,,,
,,,,,10828,55.360256,34,,,,,,,,
,,,,,10862,55.917587,34,,,,,,,,
,,,,,10898,59.308407,36,,,,,,,,
,,,,,10935,61.488674,37,,,,,,,,
,,,,,10985,88.01448,50,,,,,,,,
,,,,,11000,,,-6.548864841461182,0.34135735034942627,0.6101007461547852,5.995815277099609,6.028434753417969,0.0003,0.0003,0.1
,,,,,11024,64.42227,39,,,,,,,,
,,,,,11056,51.9322,32,,,,,,,,
,,,,,11093,60.229416,37,,,,,,,,
,,,,,11124,51.532516,31,,,,,,,,
,,,,,11166,71.48276,42,,,,,,,,
,,,,,11215,86.62101,49,,,,,,,,
,,,,,11253,64.03436,38,,,,,,,,
,,,,,11284,50.38687,31,,,,,,,,
,,,,,11317,53.047028,33,,,,,,,,
,,,,,11354,59.732334,37,,,,,,,,
,,,,,11385,51.76647,31,,,,,,,,
,,,,,11485,228.68924,100,,,,,,,,
,,,,,11533,83.34546,48,,,,,,,,
,,,,,11610,167.24445,77,,,,,,,,
,,,,,11692,179.16843,82,,,,,,,,
,,,,,11784,215.5117,92,,,,,,,,
,,,,,11867,175.86517,83,,,,,,,,
,,,,,11953,191.71887,86,,,,,,,,
,,,,,12000,,,-14.733487129211426,-1.2698190212249756,1.677811861038208,13.560867309570312,13.345878601074219,0.0003,0.0003,0.1
,,,,,12038,188.79688,85,,,,,,,,
,,,,,12125,194.08878,87,,,,,,,,
,,,,,12217,206.66797,92,,,,,,,,
,,,,,12302,188.34807,85,,,,,,,,
,,,,,12388,190.09663,86,,,,,,,,
,,,,,12475,190.1843,87,,,,,,,,
,,,,,12563,183.46686,88,,,,,,,,
,,,,,12650,175.54121,87,,,,,,,,
,,,,,12739,192.84685,89,,,,,,,,
,,,,,12823,181.41307,84,,,,,,,,
,,,,,12911,193.8159,88,,,,,,,,
,,,,,12997,186.86668,86,,,,,,,,
,,,,,13000,,,-22.986988067626953,-1.844616174697876,4.4385786056518555,21.136703491210938,21.118324279785156,0.0003,0.0003,0.1
,,,,,13096,217.36168,99,,,,,,,,
,,,,,13199,236.14253,103,,,,,,,,
,,,,,13283,185.00633,84,,,,,,,,
,,,,,13383,226.57458,100,,,,,,,,
,,,,,13471,195.24916,88,,,,,,,,
,,,,,13562,194.51422,91,,,,,,,,
,,,,,13651,191.22212,89,,,,,,,,
,,,,,13744,203.43105,93,,,,,,,,
