Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,22999,774.6439,1000,,,,,,,,
,,,,,23000,,,-24.989206314086914,1.8457087278366089,0.4937290549278259,24.15898895263672,24.16619110107422,0.0003,0.0003,0.1
,,,,,23999,898.71094,1000,,,,,,,,
,,,,,24000,,,-28.564727783203125,1.6738455295562744,0.482902467250824,27.72876739501953,27.75163459777832,0.0003,0.0003,0.1
,,,,,24999,926.9369,1000,,,,,,,,
929.89374,222.32211,1065.3915,273.19907,1000.0,25000,,,-31.62198257446289,1.739220380783081,0.3901057541370392,30.985668182373047,30.968538284301758,0.0003,0.0003,0.1
,,,,,25999,1146.8342,1000,,,,,,,,
,,,,,26000,,,-36.48724365234375,1.056809902191162,0.4763337969779968,35.649253845214844,35.70049285888672,0.0003,0.0003,0.1
,,,,,26999,1225.4103,1000,,,,,,,,
,,,,,27000,,,-36.668087005615234,1.0748218297958374,0.4368200898170471,35.88275146484375,35.847137451171875,0.0003,0.0003,0.1
,,,,,27999,1239.5162,1000,,,,,,,,
,,,,,28000,,,-41.96046447753906,0.846642017364502,0.6161907911300659,41.030731201171875,41.04623031616211,0.0003,0.0003,0.1
,,,,,28999,1384.5944,1000,,,,,,,,
,,,,,29000,,,-44.811309814453125,0.8452481031417847,0.5750071406364441,43.99302673339844,44.00755310058594,0.0003,0.0003,0.1
,,,,,29999,577.0835,1000,,,,,,,,
1365.6964,421.0983,1717.2659,490.6561,1000.0,30000,,,-48.56633758544922,0.35591602325439453,0.541509211063385,47.50445556640625,47.597599029541016,0.0003,0.0003,0.1
,,,,,30999,1678.6567,1000,,,,,,,,
,,,,,31000,,,-51.685997009277344,0.5139911770820618,0.5922216176986694,50.76129913330078,50.87400817871094,0.0003,0.0003,0.1
,,,,,31999,1723.722,1000,,,,,,,,
,,,,,32000,,,-57.288150787353516,0.196103036403656,0.5507937669754028,56.298988342285156,56.422569274902344,0.0003,0.0003,0.1
,,,,,32999,1852.2078,1000,,,,,,,,
,,,,,33000,,,-58.509613037109375,0.42089641094207764,0.6760666370391846,57.56015396118164,57.53070831298828,0.0003,0.0003,0.1
,,,,,33999,1957.4968,1000,,,,,,,,
