Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-320.94202,12.137601,-305.93878,-335.66577,1000.0,-264.83936,38.604652,-217.47893,-310.49106,1000.0,2.7306885719299316,9.891026496887207,220000,137.20562291145325,,43
-328.5008,46.741924,-268.6761,-382.764,1000.0,-295.7287,18.94043,-271.0642,-327.2154,1000.0,-4.222461700439453,13.416385650634766,225000,140.2971670627594,,44
-278.9976,48.42176,-213.32008,-328.6247,1000.0,-318.14532,38.370255,-276.3494,-385.12973,1000.0,-7.461118698120117,15.986412048339844,230000,143.39572048187256,,45
-305.9728,64.142365,-219.02762,-371.84552,1000.0,-233.79672,31.526945,-208.19019,-294.5542,1000.0,7.819409370422363,17.43745994567871,235000,146.5260579586029,,46
-260.99194,10.123534,-248.35324,-273.13593,1000.0,-300.99435,19.370817,-268.0133,-323.8819,1000.0,-1.9921798706054688,14.53327751159668,240000,149.55635499954224,,47
-269.0742,31.713142,-233.3135,-310.3952,1000.0,-305.77783,40.288204,-247.77641,-367.7179,1000.0,-3.906043767929077,29.79997444152832,245000,152.59529566764832,,48
-360.69284,129.37932,-251.59523,-542.44934,1000.0,-264.8642,9.102405,-248.14786,-275.7851,1000.0,3.006709098815918,10.719182968139648,250000,155.73209142684937,,49
-244.8866,64.79411,-186.68466,-335.28043,1000.0,-253.4705,67.279724,-176.24011,-378.83286,1000.0,2.540722608566284,18.907859802246094,255000,158.98100876808167,,50
-235.62103,35.44415,-186.60974,-269.22894,1000.0,-241.5625,53.21274,-186.41748,-331.34802,1000.0,-0.3639501929283142,22.394329071044922,260000,162.14048886299133,,51
-264.74326,42.489372,-212.81131,-316.88794,1000.0,-248.96182,49.158184,-183.90083,-330.622,1000.0,-1.5676581859588623,10.425159454345703,265000,165.2952845096588,,52
-305.17722,11.328894,-289.16187,-313.56882,1000.0,-306.81314,86.59717,-190.23608,-442.55136,1000.0,-7.379315376281738,24.29151725769043,270000,168.46985244750977,,53
-282.91824,28.934439,-242.31662,-307.62726,1000.0,-286.41675,62.968258,-214.17316,-390.81155,1000.0,2.399275302886963,22.375802993774414,275000,171.6334846019745,,54
-300.51785,60.07798,-242.75739,-383.3596,1000.0,-303.0414,39.19176,-266.5301,-371.64178,1000.0,1.0215461254119873,13.990996360778809,280000,174.80436086654663,,55
-278.30148,7.082375,-271.35123,-288.02243,1000.0,-308.2798,32.887127,-268.8241,-346.84003,1000.0,-1.2850629091262817,19.57782745361328,285000,177.98157238960266,,56
-288.18494,17.45449,-265.40005,-307.80087,1000.0,-323.85468,94.206085,-239.54471,-506.04236,1000.0,-4.450610637664795,17.91632080078125,290000,181.27528548240662,,57
-299.55594,71.55044,-205.35138,-378.64764,1000.0,-315.62173,42.80703,-276.2104,-396.92474,1000.0,1.2694875001907349,14.807876586914062,295000,184.44284200668335,,58
-249.58076,41.244118,-204.96194,-304.42456,1000.0,-336.45947,72.76561,-267.94498,-473.87564,1000.0,-0.6409893035888672,19.740875244140625,300000,187.6108853816986,,59
-261.49124,17.09325,-246.7616,-285.4557,1000.0,-282.4123,16.189104,-264.22052,-304.31116,1000.0,0.7748891711235046,12.459473609924316,305000,190.8444004058838,,60
-269.9974,16.409687,-247.8061,-286.9732,1000.0,-298.42133,69.37181,-187.21326,-382.59076,1000.0,-0.8903853297233582,14.662607192993164,310000,193.99883031845093,,61
-255.40027,30.74638,-223.73746,-297.04077,1000.0,-304.90964,51.964386,-229.12775,-371.29517,1000.0,-1.3915255069732666,19.09847068786621,315000,197.18354177474976,,62
-235.27776,61.463,-154.79889,-303.95862,1000.0,-256.35706,57.257355,-187.95149,-350.83267,1000.0,4.888506889343262,15.221918106079102,320000,200.42445826530457,,63
-198.7115,8.935019,-186.32307,-207.06137,1000.0,-281.2251,64.40416,-216.60202,-392.1479,1000.0,-2.495969533920288,15.950188636779785,325000,203.55944275856018,,64
-193.075,18.040062,-175.84244,-217.98375,1000.0,-276.62912,68.15975,-187.20737,-372.20386,1000.0,-3.2510292530059814,21.980710983276367,330000,206.73765540122986,,65
-186.61365,25.885021,-150.24536,-208.41197,1000.0,-201.1974,49.20709,-104.18822,-238.1828,1000.0,5.562731742858887,11.40270709991455,335000,209.82383394241333,,66
-154.71332,71.74195,-54.235817,-217.14075,1000.0,-158.5712,39.827347,-109.74681,-197.72498,1000.0,1.7931374311447144,11.000998497009277,340000,212.88169956207275,,67
-140.91476,32.934147,-95.74614,-173.33948,1000.0,-149.91753,58.750008,-81.13548,-244.02252,1000.0,0.5966561436653137,16.1191463470459,345000,215.97202277183533,,68
-66.00732,21.817055,-41.66527,-94.59706,1000.0,-65.05499,38.409462,-2.3417368,-106.653175,1000.0,4.495177268981934,11.385744094848633,350000,219.15836238861084,,69
-69.37611,42.16359,-9.753536,-99.90454,1000.0,-75.18619,72.814705,8.386877,-192.48904,1000.0,-1.385099172592163,15.081913948059082,355000,222.25524353981018,,70
