Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,74528,270.0,2170,,,,,,
,,,,,75000,,,3.7644221782684326,17.14087677001953,16.00316619873047,272.7866516113281,0.8865625,9.635406250000001e-05
,,,,,75004,160.0,1906,,,,,,
,,,,,75480,180.0,1906,,,,,,
,,,,,75907,240.0,1730,,,,,,
,,,,,76000,,,4.731246471405029,21.111553192138672,21.247982025146484,121.25015258789062,0.8845,9.624989583333334e-05
,,,,,76428,180.0,2106,,,,,,
,,,,,76918,230.0,1978,,,,,,
,,,,,77000,,,5.308920383453369,18.32731819152832,18.800384521484375,219.48452758789062,0.8824375,9.614572916666667e-05
,,,,,77405,160.0,1946,,,,,,
,,,,,77831,240.0,1706,,,,,,
,,,,,78000,,,7.870375633239746,17.180763244628906,17.081588745117188,181.30819702148438,0.880375,9.60415625e-05
,,,,,78272,180.0,1786,,,,,,
,,,,,78924,390.0,2634,,,,,,
,,,,,79000,,,10.3569974899292,17.436203002929688,18.080642700195312,203.4552001953125,0.8783125,9.593739583333334e-05
,,,,,79354,240.0,1722,,,,,,
,,,,,79849,270.0,1986,,,,,,
298.0,31.241,390.0,270.0,1956.4,80000,,,9.004486083984375,20.410327911376953,20.38775634765625,206.1059112548828,0.87625,9.583322916666667e-05
,,,,,80393,300.0,2186,,,,,,
,,,,,80878,280.0,1954,,,,,,
,,,,,81000,,,4.834516525268555,18.80901336669922,17.258739471435547,331.375244140625,0.8741875,9.57290625e-05
,,,,,81444,370.0,2266,,,,,,
,,,,,81899,240.0,1842,,,,,,
,,,,,82000,,,6.333971977233887,17.688491821289062,17.461700439453125,159.91380310058594,0.872125,9.562489583333334e-05
,,,,,82230,140.0,1346,,,,,,
,,,,,82634,250.0,1634,,,,,,
,,,,,83000,,,7.028463363647461,20.263446807861328,20.446552276611328,124.4571304321289,0.8700625,9.552072916666667e-05
,,,,,83054,130.0,1690,,,,,,
,,,,,83552,210.0,2010,,,,,,
,,,,,84000,,,61.99573516845703,21.213462829589844,22.430971145629883,419.63690185546875,0.868,9.541656250000001e-05
,,,,,84123,220.0,2298,,,,,,
,,,,,84653,130.0,2122,,,,,,
,,,,,85000,,,23.181638717651367,17.829071044921875,18.475595474243164,322.1001281738281,0.8659375,9.531239583333334e-05
,,,,,85177,230.0,2122,,,,,,
,,,,,85606,230.0,1738,,,,,,
,,,,,86000,,,4.588927268981934,21.30182647705078,20.73224639892578,198.420654296875,0.863875,9.520822916666667e-05
,,,,,86059,210.0,1834,,,,,,
,,,,,86454,210.0,1602,,,,,,
,,,,,86927,210.0,1914,,,,,,
,,,,,87000,,,4.133786201477051,21.523937225341797,22.00640869140625,210.64947509765625,0.8618125,9.51040625e-05
,,,,,87438,260.0,2058,,,,,,
,,,,,87962,230.0,2098,,,,,,
,,,,,88000,,,3.8405628204345703,24.42156219482422,24.786880493164062,129.4149627685547,0.85975,9.499989583333334e-05
,,,,,88348,120.0,1554,,,,,,
,,,,,88753,240.0,1626,,,,,,
,,,,,89000,,,10.543437957763672,20.89780044555664,20.150510787963867,233.52001953125,0.8576875,9.489572916666667e-05
,,,,,89509,470.0,3034,,,,,,
412.0,48.744232,500.0,370.0,2618.0,90000,,,2.1361794471740723,21.625980377197266,20.7086238861084,239.68849182128906,0.855625,9.479156250000001e-05
,,,,,90001,210.0,1994,,,,,,
,,,,,90532,180.0,2130,,,,,,
,,,,,91000,,,8.504263877868652,25.367942810058594,25.09939193725586,279.961669921875,0.8535625,9.468739583333334e-05
,,,,,91041,240.0,2042,,,,,,
,,,,,91504,200.0,1858,,,,,,
,,,,,91873,240.0,1490,,,,,,
,,,,,92000,,,11.54435920715332,24.5556640625,23.32957649230957,394.5841369628906,0.8515,9.458322916666668e-05
,,,,,92285,220.0,1666,,,,,,
,,,,,92780,240.0,1994,,,,,,
,,,,,93000,,,14.233665466308594,22.57900047302246,23.765357971191406,338.9579772949219,0.8494375000000001,9.447906250000001e-05
,,,,,93287,310.0,2034,,,,,,
,,,,,93797,260.0,2066,,,,,,
,,,,,94000,,,19.739797592163086,26.212305068969727,26.7602481842041,388.197021484375,0.847375,9.437489583333334e-05
,,,,,94227,190.0,1746,,,,,,
,,,,,94769,270.0,2170,,,,,,
,,,,,95000,,,22.201412200927734,21.709379196166992,20.802066802978516,351.86328125,0.8453125,9.427072916666667e-05
,,,,,95394,240.0,2522,,,,,,
,,,,,96000,,,4.162127494812012,22.58613395690918,21.432205200195312,360.84625244140625,0.84325,9.41665625e-05
,,,,,96444,810.0,4218,,,,,,
,,,,,96954,270.0,2042,,,,,,
,,,,,97000,,,3.082477569580078,21.527156829833984,20.77181625366211,233.32769775390625,0.8411875,9.406239583333334e-05
,,,,,97411,180.0,1834,,,,,,
,,,,,97941,300.0,2146,,,,,,
,,,,,98000,,,12.756921768188477,23.535572052001953,23.75174331665039,197.5817413330078,0.839125,9.395822916666667e-05
,,,,,98470,230.0,2114,,,,,,
,,,,,98800,140.0,1346,,,,,,
,,,,,99000,,,2.7810487747192383,26.6556453704834,26.503814697265625,150.33746337890625,0.8370625,9.385406250000001e-05
,,,,,99199,160.0,1602,,,,,,
,,,,,99595,230.0,1610,,,,,,
336.0,175.68153,550.0,160.0,1992.4,100000,,,6.789554595947266,23.998641967773438,24.01248550415039,170.8536834716797,0.835,9.374989583333334e-05
,,,,,100027,180.0,1730,,,,,,
,,,,,100522,270.0,1994,,,,,,
,,,,,101000,,,4.1713666915893555,24.729494094848633,23.937965393066406,246.37815856933594,0.8329375,9.364572916666668e-05
,,,,,101102,320.0,2338,,,,,,
,,,,,101568,190.0,1890,,,,,,
