Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
9.5,0.5,10.0,9.0,9.5,2500,,,0.051377132534980774,1.9968476295471191,2.016964912414551,0.34707871079444885,0.925,0.0005
,,,,,2503,9.0,9,,,,,,
,,,,,2512,9.0,9,,,,,,
,,,,,2526,14.0,14,,,,,,
,,,,,2536,10.0,10,,,,,,
,,,,,2549,13.0,13,,,,,,
,,,,,2560,11.0,11,,,,,,
,,,,,2572,12.0,12,,,,,,
,,,,,2583,11.0,11,,,,,,
,,,,,2595,12.0,12,,,,,,
,,,,,2604,9.0,9,,,,,,
,,,,,2622,18.0,18,,,,,,
,,,,,2632,10.0,10,,,,,,
,,,,,2644,12.0,12,,,,,,
,,,,,2653,9.0,9,,,,,,
,,,,,2666,13.0,13,,,,,,
,,,,,2680,14.0,14,,,,,,
,,,,,2689,9.0,9,,,,,,
,,,,,2699,10.0,10,,,,,,
,,,,,2712,13.0,13,,,,,,
,,,,,2726,14.0,14,,,,,,
,,,,,2735,9.0,9,,,,,,
,,,,,2746,11.0,11,,,,,,
,,,,,2756,10.0,10,,,,,,
,,,,,2770,14.0,14,,,,,,
,,,,,2785,15.0,15,,,,,,
,,,,,2794,9.0,9,,,,,,
,,,,,2810,16.0,16,,,,,,
,,,,,2824,14.0,14,,,,,,
,,,,,2841,17.0,17,,,,,,
,,,,,2849,8.0,8,,,,,,
,,,,,2859,10.0,10,,,,,,
,,,,,2870,11.0,11,,,,,,
,,,,,2878,8.0,8,,,,,,
,,,,,2888,10.0,10,,,,,,
,,,,,2902,14.0,14,,,,,,
,,,,,2912,10.0,10,,,,,,
,,,,,2925,13.0,13,,,,,,
,,,,,2941,16.0,16,,,,,,
,,,,,2951,10.0,10,,,,,,
,,,,,2962,11.0,11,,,,,,
,,,,,2984,22.0,22,,,,,,
,,,,,2993,9.0,9,,,,,,
,,,,,3000,,,0.037966348230838776,1.976485013961792,1.9879294633865356,0.1218746230006218,0.91,0.0005
,,,,,3006,13.0,13,,,,,,
,,,,,3020,14.0,14,,,,,,
,,,,,3029,9.0,9,,,,,,
,,,,,3047,18.0,18,,,,,,
,,,,,3055,8.0,8,,,,,,
,,,,,3064,9.0,9,,,,,,
,,,,,3085,21.0,21,,,,,,
,,,,,3095,10.0,10,,,,,,
,,,,,3104,9.0,9,,,,,,
,,,,,3119,15.0,15,,,,,,
,,,,,3134,15.0,15,,,,,,
,,,,,3148,14.0,14,,,,,,
,,,,,3162,14.0,14,,,,,,
,,,,,3172,10.0,10,,,,,,
,,,,,3185,13.0,13,,,,,,
,,,,,3198,13.0,13,,,,,,
,,,,,3217,19.0,19,,,,,,
,,,,,3226,9.0,9,,,,,,
,,,,,3240,14.0,14,,,,,,
,,,,,3254,14.0,14,,,,,,
,,,,,3271,17.0,17,,,,,,
,,,,,3287,16.0,16,,,,,,
,,,,,3299,12.0,12,,,,,,
,,,,,3312,13.0,13,,,,,,
,,,,,3323,11.0,11,,,,,,
,,,,,3334,11.0,11,,,,,,
,,,,,3351,17.0,17,,,,,,
,,,,,3363,12.0,12,,,,,,
,,,,,3377,14.0,14,,,,,,
,,,,,3391,14.0,14,,,,,,
,,,,,3407,16.0,16,,,,,,
,,,,,3420,13.0,13,,,,,,
,,,,,3437,17.0,17,,,,,,
,,,,,3446,9.0,9,,,,,,
,,,,,3455,9.0,9,,,,,,
,,,,,3466,11.0,11,,,,,,
,,,,,3484,18.0,18,,,,,,
,,,,,3493,9.0,9,,,,,,
,,,,,3506,13.0,13,,,,,,
,,,,,3520,14.0,14,,,,,,
,,,,,3531,11.0,11,,,,,,
,,,,,3544,13.0,13,,,,,,
,,,,,3556,12.0,12,,,,,,
,,,,,3566,10.0,10,,,,,,
,,,,,3576,10.0,10,,,,,,
,,,,,3587,11.0,11,,,,,,
,,,,,3596,9.0,9,,,,,,
,,,,,3609,13.0,13,,,,,,
,,,,,3624,15.0,15,,,,,,
,,,,,3634,10.0,10,,,,,,
,,,,,3645,11.0,11,,,,,,
,,,,,3663,18.0,18,,,,,,
,,,,,3673,10.0,10,,,,,,
,,,,,3683,10.0,10,,,,,,
,,,,,3696,13.0,13,,,,,,
,,,,,3708,12.0,12,,,,,,
,,,,,3719,11.0,11,,,,,,
,,,,,3733,14.0,14,,,,,,
,,,,,3748,15.0,15,,,,,,
,,,,,3758,10.0,10,,,,,,
,,,,,3767,9.0,9,,,,,,
,,,,,3781,14.0,14,,,,,,
,,,,,3798,17.0,17,,,,,,
,,,,,3808,10.0,10,,,,,,
,,,,,3818,10.0,10,,,,,,
,,,,,3832,14.0,14,,,,,,
,,,,,3841,9.0,9,,,,,,
,,,,,3857,16.0,16,,,,,,
,,,,,3867,10.0,10,,,,,,
,,,,,3881,14.0,14,,,,,,
,,,,,3895,14.0,14,,,,,,
,,,,,3908,13.0,13,,,,,,
,,,,,3917,9.0,9,,,,,,
,,,,,3927,10.0,10,,,,,,
,,,,,3941,14.0,14,,,,,,
,,,,,3954,13.0,13,,,,,,
