Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,19532,-342.2298,99,,,,,,
,,,,,19616,-193.31436,84,,,,,,
,,,,,19686,-103.43557,70,,,,,,
,,,,,19780,-206.06616,94,,,,,,
,,,,,19838,-80.51062,58,,,,,,
,,,,,19911,-9.988892,73,,,,,,
,,,,,19989,-294.06717,78,,,,,,
-1008.80066,353.54044,-453.39835,-1843.324,118.3,20000,,,481.2120666503906,-0.0537867546081543,-5.873090744018555,39.278717041015625,0.88,0.001
,,,,,20058,-137.67226,69,,,,,,
,,,,,20118,-94.44032,60,,,,,,
,,,,,20214,-303.3906,96,,,,,,
,,,,,20305,-234.83597,91,,,,,,
,,,,,20363,-116.2302,58,,,,,,
,,,,,20443,-390.79974,80,,,,,,
,,,,,20504,-152.51254,61,,,,,,
,,,,,20593,-136.17291,89,,,,,,
,,,,,20682,-235.15002,89,,,,,,
,,,,,20774,-554.5829,92,,,,,,
,,,,,20864,-145.03798,90,,,,,,
,,,,,20953,-454.3584,89,,,,,,
,,,,,21000,,,16.668882369995117,-1.7926629781723022,-1.297389268875122,25.66466522216797,0.874,0.001
,,,,,21016,-114.400795,63,,,,,,
,,,,,21124,-373.2947,108,,,,,,
,,,,,21198,-161.46326,74,,,,,,
,,,,,21276,-198.09146,78,,,,,,
,,,,,21337,-97.00016,61,,,,,,
,,,,,21424,-453.53055,87,,,,,,
,,,,,21513,-213.6529,89,,,,,,
,,,,,21597,-123.03069,84,,,,,,
,,,,,21700,-242.1451,103,,,,,,
,,,,,21758,-78.85494,58,,,,,,
,,,,,21865,-680.944,107,,,,,,
,,,,,21928,-243.58302,63,,,,,,
,,,,,22000,,,50.35643005371094,-0.9712557792663574,-2.0621485710144043,33.58073043823242,0.868,0.001
,,,,,22020,-193.24915,92,,,,,,
,,,,,22093,-138.38342,73,,,,,,
,,,,,22150,-107.65387,57,,,,,,
,,,,,22221,-108.719666,71,,,,,,
,,,,,22289,-314.31558,68,,,,,,
,,,,,22351,-107.41331,62,,,,,,
,,,,,22470,-381.82523,119,,,,,,
,,,,,22542,-292.1339,72,,,,,,
,,,,,22611,-94.76211,69,,,,,,
,,,,,22706,-481.31448,95,,,,,,
,,,,,22762,-80.55582,56,,,,,,
,,,,,22818,-286.70837,56,,,,,,
,,,,,22893,-316.05286,75,,,,,,
,,,,,22998,-245.2706,105,,,,,,
,,,,,23000,,,177.71463012695312,-1.659965991973877,-2.807485818862915,75.27531433105469,0.862,0.001
,,,,,23108,-478.6553,110,,,,,,
,,,,,23169,-138.92892,61,,,,,,
,,,,,23223,-94.19955,54,,,,,,
,,,,,23296,-155.23602,73,,,,,,
,,,,,23395,-153.77971,99,,,,,,
,,,,,23454,-80.182655,59,,,,,,
,,,,,23532,-308.70633,78,,,,,,
,,,,,23628,-433.18747,96,,,,,,
,,,,,23701,-174.86023,73,,,,,,
,,,,,23772,-333.3259,71,,,,,,
,,,,,23882,-200.56177,110,,,,,,
,,,,,23963,-213.84506,81,,,,,,
,,,,,24000,,,494.29437255859375,-3.563171863555908,-3.80997371673584,79.54153442382812,0.856,0.001
,,,,,24075,-189.49501,112,,,,,,
,,,,,24158,-321.4779,83,,,,,,
,,,,,24273,-512.81006,115,,,,,,
,,,,,24381,-553.27466,108,,,,,,
,,,,,24449,-131.97588,68,,,,,,
